,Product Name,Product URL,Tags
0,Floral Print Kanjivaram Pure Silk Saree,https://www.flipkart.com/waanmayi-floral-print-kanjivaram-pure-silk-saree/p/itm0ec28cddbde45?pid=SARGC2EKZECHFSH7&lid=LSTSARGC2EKZECHFSH7FCVIQN&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_1&otracker=browse&fm=organic&iid=en_dYHjI%2Bo3Ke6fF4lnTqNBSYA9iUIaigOMuLRx6hgPn1%2Fy7Rw2AAVEwCqqcKyb4%2Fjte3b0xN7ZFmtH%2FjIzazqvIg%3D%3D&ppt=None&ppn=None&ssid=d61b23usvk0000001684822721364,"floral,print,kanjivaram,pure,silk,saree"
1,Embellished Bollywood Chiffon Saree,https://www.flipkart.com/vivan-fab-embellished-bollywood-chiffon-saree/p/itm480ae3a660126?pid=SARGKF23ZZUKK2AG&lid=LSTSARGKF23ZZUKK2AGSZ7SJH&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_5&otracker=browse&fm=organic&iid=9cc02554-11a8-4052-a12d-55ba334f992a.SARGKF23ZZUKK2AG.SEARCH&ppt=None&ppn=None&ssid=d61b23usvk0000001684822721364,"embellished,bollywood,chiffon,saree"
2,Self Design Banarasi Jacquard Saree,https://www.flipkart.com/dhanlaxmi-creation-self-design-banarasi-jacquard-saree/p/itmf96d925458fca?pid=SARGZH2MZDPVZWFV&lid=LSTSARGZH2MZDPVZWFVIRTEOY&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_9&otracker=browse&fm=organic&iid=9cc02554-11a8-4052-a12d-55ba334f992a.SARGZH2MZDPVZWFV.SEARCH&ppt=None&ppn=None&ssid=d61b23usvk0000001684822721364,"self,design,banarasi,jacquard,saree"
3,"Embroidered, Embellished, Dyed, Self Design Bollywood S...",https://www.flipkart.com/kedar-fab-embroidered-embellished-dyed-self-design-bollywood-silk-blend-saree/p/itm94972e9282f51?pid=SARGH73QAGQHRZKT&lid=LSTSARGH73QAGQHRZKT7LCQSW&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_13&otracker=browse&fm=organic&iid=9cc02554-11a8-4052-a12d-55ba334f992a.SARGH73QAGQHRZKT.SEARCH&ppt=None&ppn=None&ssid=d61b23usvk0000001684822721364,"embroidered,embellished,dyed,self,design,bollywood"
4,Solid/Plain Daily Wear Georgette Saree,https://www.flipkart.com/homedeal-solid-plain-daily-wear-georgette-saree/p/itm76f39844f1ca3?pid=SARGZSAMEDGN3NXY&lid=LSTSARGZSAMEDGN3NXYP6M8EX&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_17&otracker=browse&fm=organic&iid=en_dYHjI%2Bo3Ke6fF4lnTqNBSYA9iUIaigOMuLRx6hgPn18k4l%2B1whrbBSUTGPwAs9Q%2B9ZE3Gl7wZpzv8Jh%2FRrv5kQ%3D%3D&ppt=None&ppn=None&ssid=d61b23usvk0000001684822721364,"solidplain,daily,wear,georgette,saree"
5,Woven Kanjivaram Jacquard Saree,https://www.flipkart.com/aadvika-woven-kanjivaram-jacquard-saree/p/itm3b96ac04b4abe?pid=SARGKBBVYKCZQAHY&lid=LSTSARGKBBVYKCZQAHYLXKRAA&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_21&otracker=browse&fm=organic&iid=en_dYHjI%2Bo3Ke6fF4lnTqNBSYA9iUIaigOMuLRx6hgPn1%2Bv7YSRGxfMAU00qHCiCTJhumLR6vhtCq0ZLiphuxSfaA%3D%3D&ppt=None&ppn=None&ssid=d61b23usvk0000001684822721364,"woven,kanjivaram,jacquard,saree"
6,Floral Print Banarasi Art Silk Saree,https://www.flipkart.com/friyal-floral-print-banarasi-art-silk-saree/p/itm4223c1b4faf74?pid=SARGH53MSGCCCQM5&lid=LSTSARGH53MSGCCCQM5XBFSZS&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_25&otracker=browse&fm=organic&iid=9cc02554-11a8-4052-a12d-55ba334f992a.SARGH53MSGCCCQM5.SEARCH&ppt=None&ppn=None&ssid=d61b23usvk0000001684822721364,"floral,print,banarasi,art,silk,saree"
7,Woven Bollywood Art Silk Saree,https://www.flipkart.com/fabcartz-woven-bollywood-art-silk-saree/p/itm0aba3ede259f6?pid=SARGHUUCSDGWVZHY&lid=LSTSARGHUUCSDGWVZHYETY68O&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_29&otracker=browse&fm=organic&iid=9cc02554-11a8-4052-a12d-55ba334f992a.SARGHUUCSDGWVZHY.SEARCH&ppt=None&ppn=None&ssid=d61b23usvk0000001684822721364,"woven,bollywood,art,silk,saree"
8,Embellished Bollywood Chiffon Saree,https://www.flipkart.com/vivan-fab-embellished-bollywood-chiffon-saree/p/itm1f5a43683f35a?pid=SARGKF23RBRZ3DG2&lid=LSTSARGKF23RBRZ3DG2MZAYMQ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_33&otracker=browse&fm=organic&iid=9cc02554-11a8-4052-a12d-55ba334f992a.SARGKF23RBRZ3DG2.SEARCH&ppt=None&ppn=None&ssid=d61b23usvk0000001684822721364,"embellished,bollywood,chiffon,saree"
9,"Digital Print, Self Design, Printed, Graphic Print, Flo...",https://www.flipkart.com/kedar-fab-digital-print-self-design-printed-graphic-floral-print-bollywood-organza-net-saree/p/itm36376fbd266d6?pid=SARGP2BZGMEZUYGU&lid=LSTSARGP2BZGMEZUYGUGNRFUM&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_37&otracker=browse&fm=organic&iid=en_dYHjI%2Bo3Ke6fF4lnTqNBSYA9iUIaigOMuLRx6hgPn1%2BgzWVPZXAgJ%2FyOyDEJW8SIQ%2Fcnz05sw2ISi3FqZO0GbA%3D%3D&ppt=None&ppn=None&ssid=d61b23usvk0000001684822721364,"digital,print,self,design,printed,graphic,print,flo"
